01	Pound	Normal	Physical	Tough	 35	 40	 100%
02	Karate Chop	Fighting	Physical	Tough	 25	 50	 100%
03	DoubleSlap	Normal	Physical	Tough	 10	 15	 85%
04	Comet Punch	Normal	Physical	Tough	 15	 18	 85%
05	Mega Punch	Normal	Physical	Tough	 20	 80	 85%
06	Pay Day	Normal	Physical	Smart	 20	 40	 100%
07	Fire Punch	Fire	Physical	Beauty	 15	 75	 100%
08	Ice Punch	Ice	Physical	Beauty	 15	 75	 100%
09	ThunderPunch	Electric	Physical	Cool	 15	 75	 100%
10	Scratch	Normal	Physical	Tough	 35	 40	 100%
11	ViceGrip	Normal	Physical	Tough	 30	 55	 100%
12	Guillotine	Normal	Physical	Cool	 5	 OHKO	 30%
13	Razor Wind	Normal	Special	Cool	 10	 80	 100%
14	Swords Dance	Normal	Status	Beauty	 30	 –	 –
15	Cut	Normal	Physical	Cool	 30	 50	 95%
16	Gust*	Flying	Special	Smart	 35	 40	 100%
17	Wing Attack	Flying	Physical	Cool	 35	 60	 100%
18	Whirlwind	Normal	Status	Smart	 20	 –	 100%
19	Fly	Flying	Physical	Smart	 15	 90	 95%
20	Bind	Normal	Physical	Tough	 20	 15	 75%
21	Slam	Normal	Physical	Tough	 20	 80	 75%
22	Vine Whip	Grass	Physical	Cool	 15	 35	 100%
23	Stomp	Normal	Physical	Tough	 20	 65	 100%
24	Double Kick	Fighting	Physical	Cool	 30	 30	 100%
25	Mega Kick	Normal	Physical	Cool	 5	 120	 75%
26	Jump Kick	Fighting	Physical	Cool	 25	 85*	 95%
27	Rolling Kick	Fighting	Physical	Cool	 15	 60	 85%
28	Sand-Attack	Ground	Status	Cute	 15	 –	 100%
29	Headbutt	Normal	Physical	Tough	 15	 70	 100%
30	Horn Attack	Normal	Physical	Cool	 25	 65	 100%
31	Fury Attack	Normal	Physical	Cool	 20	 15	 85%
32	Horn Drill	Normal	Physical	Cool	 5	 OHKO	 30%
33	Tackle	Normal	Physical	Tough	 35	 35	 95%
34	Body Slam	Normal	Physical	Tough	 15	 85	 100%
35	Wrap	Normal	Physical	Tough	 20	 15	 85%
36	Take Down	Normal	Physical	Tough	 20	 90	 85%
37	Thrash	Normal	Physical	Tough	 20	 90	 100%
38	Double-Edge	Normal	Physical	Tough	 15	 120	 100%
39	Tail Whip	Normal	Status	Cute	 30	 –	 100%
40	Poison Sting	Poison	Physical	Smart	 35	 15	 100%
