*Name, width, height, x (multiples of 8), y (multiples of 8)
*Johto and Kanto Routes
Route 1,8,64,42,13
Route 2,8,24,42,9
Route 3,40,8,43,8
Route 4,72,8,47,7
Route 5,8,48,56,8
Route 6,8,16,55,16
Route 7,16,8,53,14
Route 8,40,8,57,14
Route 9,40,8,57,7
Route 10,8,56,62,7
Route 11,48,8,56,18
Route 12,8,72,62,15
Route 13,32,8,58,23
Route 14,8,24,57,23
Route 15,24,8,54,25
Route 16,32,8,47,14
Route 17,8,80,47,15
Route 18,48,8,47,25
Route 19,8,24,53,26
Route 20,80,8,43,28
Route 21,8,48,42,22
Route 22,32,8,38,12
Route 23,8,32,38,8
Route 24,8,24,56,4
Route 25,32,8,57,4
Route 26,8,72,38,13
Route 27,56,8,31,21
Route 28,40,8,33,12
Route 29,64,8,23,21
Route 30,8,72,22,12
Route 31,24,8,20,11
Route 32,8,104,19,12
Route 33,16,8,17,25
Route 34,8,56,13,17
Route 35,8,24,13,12
Route 36,40,8,14,11
Route 37,8,40,15,6
Route 38,32,8,11,5
Route 39,8,40,10,5
Route 40,8,40,8,11
Route 41,8,32,8,17
Route 42,56,8,16,5
Route 43,8,24,23,2
Route 44,24,8,24,5
Route 45,8,72,27,6
Route 46,8,56,26,14
*Johto and Kanto Places of Interest
Whirl Islands,8,8,8,16
Lake of Rage,16,16,23,1
Ice Path,8,8,26,5
Union Cave,8,8,19,25
Ruins of Alph,8,8,18,14
Mt. Mortar,8,8,19,5
Illex Forest,8,8,13,24
Dark Cave,8,8,24,8
Dragon's Den,8,8,27,4
National Park,8,8,13,11
Tohjo Falls,8,8,35,21
Mt. Silver,8,8,33,12
Viridan Forest,8,8,42,10
Diglett's Cave,8,8,43,10
Mt. Moon,8,8,47,7
Rock Tunnel,8,8,62,7
Power Plant,8,8,63,12
Diglett's Cave,8,8,56,18
Safari Zone,8,8,53,24
Seafoam Islands,8,8,48,28
Victory Road,8,8,38,8
*Johto and Kanto Cities
New Bark Town,8,8,31,21
Cherrygrove City,8,8,22,21
Violet City,8,8,19,11
Azalea Town,8,8,16,25
Goldenrod City,8,16,13,15
Ecruteak City,8,8,15,5
Olivine City,8,8,10,10
Cianwood City,8,8,5,19
Mahogany Town,8,8,23,5
Blackthorn City,8,8,27,5
Pallet Town,8,8,42,21
Viridian City,8,8,42,12
Pewter City,8,8,42,8
Cerulean City,8,8,56,7
Vermilion City,8,16,55,18
Lavender Town,8,8,62,14
Celadon City,16,8,51,14
Saffron City,16,16,55,14
Fuchsia City,8,8,53,25
Cinnabar Island,8,8,42,28
Indigo Plateau,8,8,38,7
