*Name, width, height, x (multiples of 8), y (multiples of 8)
*Johto and Kanto Rutas
Ruta 1,8,64,42,13
Ruta 2,8,24,42,9
Ruta 3,40,8,43,8
Ruta 4,72,8,47,7
Ruta 5,8,48,56,8
Ruta 6,8,16,55,16
Ruta 7,16,8,53,14
Ruta 8,40,8,57,14
Ruta 9,40,8,57,7
Ruta 10,8,56,62,7
Ruta 11,48,8,56,18
Ruta 12,8,72,62,15
Ruta 13,32,8,58,23
Ruta 14,8,24,57,23
Ruta 15,24,8,54,25
Ruta 16,32,8,47,14
Ruta 17,8,80,47,15
Ruta 18,48,8,47,25
Ruta 19,8,24,53,26
Ruta 20,80,8,43,28
Ruta 21,8,48,42,22
Ruta 22,32,8,38,12
Ruta 23,8,32,38,8
Ruta 24,8,24,56,4
Ruta 25,32,8,57,4
Ruta 26,8,72,38,13
Ruta 27,56,8,31,21
Ruta 28,40,8,33,12
Ruta 29,64,8,23,21
Ruta 30,8,72,22,12
Ruta 31,24,8,20,11
Ruta 32,8,104,19,12
Ruta 33,16,8,17,25
Ruta 34,8,56,13,17
Ruta 35,8,24,13,12
Ruta 36,40,8,14,11
Ruta 37,8,40,15,6
Ruta 38,32,8,11,5
Ruta 39,8,40,10,5
Ruta 40,8,40,8,11
Ruta 41,8,32,8,17
Ruta 42,56,8,16,5
Ruta 43,8,24,23,2
Ruta 44,24,8,24,5
Ruta 45,8,72,27,6
Ruta 46,8,56,26,14
*Johto and Kanto Places of Interest
Islas Remolino,8,8,8,16
Lago Ira,16,16,23,1
Ruta Helada,8,8,26,5
Cueva Union,8,8,19,25
Ruinas Alfa,8,8,18,14
Monte Mortar,8,8,19,5
Bosque Illex,8,8,13,24
Cueva Oscura,8,8,24,8
Guarida Dragon,8,8,27,4
Parque Nacional,8,8,13,11
Cascadas Tohjo,8,8,35,21
Monte Plata,8,8,33,12
Bosque Verde,8,8,42,10
Cueva Diglett,8,8,43,10
Monte Luna,8,8,47,7
Tunel Roca,8,8,62,7
Planta Electrica,8,8,63,12
Cueva Diglett,8,8,56,18
Zona Safari,8,8,53,24
Islas Espuma,8,8,48,28
Calle Victoria,8,8,38,8
*Johto and Kanto Cities
Pueblo Primaveria,8,8,31,21
Ciudad Cerezo,8,8,22,21
Ciudad Malva,8,8,19,11
Pueblo Azalea,8,8,16,25
Ciudad Trigo,8,16,13,15
Ciudad Iris,8,8,15,5
Ciudad Olivo,8,8,10,10
Ciudad Orquidea,8,8,5,19
Pueblo Caoba,8,8,23,5
Ciudad Endrino,8,8,27,5
Pueblo Paleta,8,8,42,21
Ciudad Verde,8,8,42,12
Ciudad Plateada,8,8,42,8
Ciudad Celeste,8,8,56,7
Ciudad Carmin,8,16,55,18
Pueblo Lavanda,8,8,62,14
Ciudad Azulona,16,8,51,14
Ciudad Azafran,16,16,55,14
Ciudad Fucsia,8,8,53,25
Isla Canela,8,8,42,28
Meseta Anil,8,8,38,7
